key,value,section,note
storage_rate_rob_B_temperature_given_type_SOC_precip,"LRT=17.91, p=0.000459","3.x, 4",NA
storage_rate_rob_B_temperature_by_system,"Alley/Hedgerow: 20.5 C (0% > 26 C, n=42) | Other: 25.4 C (27% > 26 C, n=11) | Shaded perennial: 21.8 C (3% > 26 C, n=61) | SilvoPasture: 26.2 C (76% > 26 C, n=139)",4,NA
storage_rate_rob_B_corr_temperature_altitude,-0.8924,4,NA
storage_rate_rob_B_temperature_linear_LOSO,not significant with all studies (p = 0.136): LOSO not informative,"3.x, response letter",NA
storage_rate_rob_B_temperature_spline_LOSO,max p without one study = 0.0147; studies whose removal makes p > 0.05 or flips sign: none,"3.x, response letter",non-linear shape: check monotonicity in B_temperature_predictions before interpreting
storage_rate_rob_B_temperature_without_sites_above_28C,"sites > 28 C: 4 obs / 1 studies; spline test without them: LRT=13.85, p=0.00311","3.x, caption",NA
storage_rate_rob_B_AIC_temperature_vs_altitude,spline temperature AIC 833.0 vs spline altitude AIC 843.5 (n=253),4,NA
storage_rate_rob_C_SOCxTemperature_LRT,"LRT=0.05, p=0.819","3.x, 4",NA
storage_rate_rob_C_SOC_slope_per_10MgC_at_22_and_28C_logscale,22 C: -0.057 [-0.141; 0.027] | 28 C: -0.045 [-0.176; 0.086],3.x,Mg C ha-1 yr-1 per 10 Mg C ha-1
storage_rate_rob_C_SOCxTemperature_LOSO,not significant with all studies (p = 0.819): LOSO not informative,"3.x, response letter",NA
storage_rate_rob_C_SOCxTemperature_given_system_type,"LRT=0.03, p=0.861",3.x,NA
storage_rate_rob_D_short_term_by_design_counts,<=3 y Before-After Designs: 8/1 | <=3 y Control-Impact Designs: 14/4 | >3 y Before-After Designs: 25/7 | >3 y Control-Impact Designs: 100/22 | >3 y Randomized Designs: 106/10,3.x,NA
storage_rate_rob_D_short_x_design_LRT,"LRT=1.01, p=0.316","3.x, 4",NA
storage_rate_rob_D_effect_short_vs_longer,<=3 y: 0.96 [-0.07; 1.99] | >3 y: 0.24 [0.03; 0.46],3.x,NA
storage_rate_rob_D_short_term_effect_persists_given_SOC_temp,p=0.187,3.x,NA
storage_rate_rob_E_depthxprecip_LRT,"LRT=0.06, p=0.809; deep (>=30 cm): 70 obs / 12 studies, time 3-19 y",3.x (exploratory),NA
storage_rate_rob_E_depthxprecip_LOSO,not significant with all studies (p = 0.809): LOSO not informative,response letter,NA
storage_rate_rob_F_grey_literature,"LRT=2.14, p=0.143; grey: 74 obs / 11 studies","3.1, 4",NA
fig2_obs_without_coordinates,0,Fig. 2 caption,NA
fig2_n_sites,52,Fig. 2 caption,NA
